epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.30763,1.70033,13.3938,1.24828,0,0,0,0,0.97258,12.7832,0.82953,0.08416,0.00016,0.00016
2,5.58463,1.5576,12.5494,1.18875,0,0,0,0,0.9632,12.7249,0.82393,0.0673284,0.000328366,0.000328366
3,7.89999,1.47164,11.4213,1.165,0,0,0,0,0.93882,12.4899,0.84369,0.050495,0.00049505,0.00049505
4,10.1481,1.38887,10.1785,1.11492,0,0,0,0,1.06128,11.828,0.95412,0.0336601,0.00066005,0.00066005
5,12.4173,1.3964,9.19897,1.13345,0,0,0,0,1.16157,10.6875,1.00803,0.0168234,0.000823368,0.000823368
6,14.7383,1.36333,8.13694,1.11124,0,0,0,0,1.14402,10.0811,1.01189,0.00097525,0.00097525,0.00097525
7,17.0475,1.35581,7.30911,1.10871,0,0,0,0,1.03209,10.1914,0.95093,0.0009703,0.0009703,0.0009703
8,19.5264,1.23194,6.55543,1.05199,0,0,0,0,1.07386,10.3815,0.95095,0.00096535,0.00096535,0.00096535
9,21.8667,1.16342,5.77851,1.0129,0,0,0,0,1.18762,11.1103,0.90651,0.0009604,0.0009604,0.0009604
10,24.2631,1.13182,5.28413,1.02669,0.5,0.03681,0.2684,0.21472,1.19013,11.5605,0.93356,0.00095545,0.00095545,0.00095545
11,26.599,0.98169,4.63143,0.97143,0.5,0.04601,0.273,0.21669,1.18375,11.7449,0.96814,0.0009505,0.0009505,0.0009505
12,28.9611,0.94541,4.45541,0.95476,0.58333,0.09601,0.31884,0.25364,1.12443,11.4967,1.01779,0.00094555,0.00094555,0.00094555
13,31.3007,0.98209,4.28052,0.96648,0.83333,0.54601,0.63217,0.37961,0.99513,11.1449,1.02007,0.0009406,0.0009406,0.0009406
14,33.6973,0.94944,4.06125,0.952,1,0.54601,0.7705,0.36532,0.9827,11.2536,1.00134,0.00093565,0.00093565,0.00093565
15,35.9986,0.9959,4.00605,0.98668,0.98867,0.54601,0.7705,0.39952,0.94318,10.7387,1.00509,0.0009307,0.0009307,0.0009307
16,38.3323,0.90665,3.6804,0.94058,1,0.55828,0.77663,0.39964,0.95729,10.8914,0.98428,0.00092575,0.00092575,0.00092575
17,40.6274,0.8651,3.50135,0.92933,0.93667,0.50828,0.7093,0.30391,1.04804,11.0775,1.04282,0.0009208,0.0009208,0.0009208
18,42.9412,0.8088,3.32018,0.90435,0.98604,0.55828,0.76555,0.38121,0.9305,11.6989,1.01901,0.00091585,0.00091585,0.00091585
19,45.2826,0.84258,3.558,0.93551,0.97607,0.55828,0.76555,0.47198,0.87016,11.6792,0.98462,0.0009109,0.0009109,0.0009109
20,47.592,0.82201,3.26926,0.91823,0.97962,0.55828,0.76555,0.48993,0.91897,11.7908,1.00811,0.00090595,0.00090595,0.00090595
21,49.8922,0.77869,3.09121,0.90006,0.98713,0.55828,0.76555,0.61143,0.78753,10.8363,0.98648,0.000901,0.000901,0.000901
22,52.3279,0.75972,2.96843,0.8936,0.98703,0.55828,0.76555,0.64181,0.74341,10.3382,0.97394,0.00089605,0.00089605,0.00089605
23,54.6304,0.75447,3.02919,0.89343,0.98975,0.55828,0.76555,0.62291,0.72316,10.8063,0.95702,0.0008911,0.0008911,0.0008911
24,56.9463,0.76819,2.88073,0.89902,0.99443,0.55828,0.76555,0.62819,0.7064,10.9643,0.92971,0.00088615,0.00088615,0.00088615
25,59.2566,0.6739,2.88479,0.87533,0.98242,0.55828,0.76555,0.6277,0.75939,11.0928,0.94144,0.0008812,0.0008812,0.0008812
26,61.5698,0.72173,2.88171,0.88411,0.975,0.55828,0.76555,0.5924,0.75091,11.0587,0.9454,0.00087625,0.00087625,0.00087625
27,63.9084,0.7241,2.88209,0.90236,0.9836,0.55828,0.76555,0.63539,0.68753,11.6063,0.90872,0.0008713,0.0008713,0.0008713
28,66.2651,0.73008,2.84165,0.89052,0.975,0.55828,0.76555,0.64096,0.65974,11.8297,0.91208,0.00086635,0.00086635,0.00086635
29,68.6474,0.67295,2.60319,0.86381,0.98967,0.55828,0.76555,0.62336,0.65027,12.0009,0.89847,0.0008614,0.0008614,0.0008614
30,70.974,0.67543,2.78741,0.88148,1,0.55215,0.77357,0.65479,0.61418,11.7842,0.88273,0.00085645,0.00085645,0.00085645
